"","state","friday","deaths","positives","negatives"
"665","ND",2020-07-17,4,632,9241
"666","NE",2020-07-17,15,1511,23671
"667","NH",2020-07-17,8,192,10543
"668","NJ",2020-07-17,178,1923,143847
"669","NM",2020-07-17,29,1887,45600
"670","NV",2020-07-17,58,7387,34129
"671","NY",2020-07-17,56,5252,452623
"672","OH",2020-07-17,80,9424,147147
"673","OK",2020-07-17,29,5048,48922
"674","OR",2020-07-17,22,2348,35077
"675","PA",2020-07-17,112,5602,95148
"676","RI",2020-07-17,14,481,12065
"677","SC",2020-07-17,167,13641,64499
"678","SD",2020-07-17,9,388,7043
"679","TN",2020-07-17,92,14273,141824
"680","TX",2020-07-17,722,67461,310071
"681","UT",2020-07-17,28,4349,47483
"682","VA",2020-07-17,55,6502,101477
"683","VT",2020-07-17,0,57,5211
"684","WA",2020-07-17,18,5543,95313
"685","WI",2020-07-17,19,5969,76786
"686","WV",2020-07-17,5,800,20549
"687","AK",2020-07-10,2,260,21463
"688","AL",2020-07-10,98,8643,52942
"689","AR",2020-07-10,32,4181,29994
"690","AZ",2020-07-10,294,25034,65796
"691","CA",2020-07-10,588,56062,671499
"692","CO",2020-07-10,60,2173,34677
"693","CT",2020-07-10,13,570,57805
"694","DC",2020-07-10,13,308,17767
"695","DE",2020-07-10,5,729,13636
"696","FL",2020-07-10,418,65557,274710
"697","GA",2020-07-10,109,20718,124413
"698","IA",2020-07-10,23,3555,37232
"699","ID",2020-07-10,8,2835,16534
"700","IL",2020-07-10,139,6027,205091
"701","IN",2020-07-10,67,3385,43024
"702","KS",2020-07-10,7,2692,23526
"703","KY",2020-07-10,35,2294,34749
"704","LA",2020-07-10,102,11347,109759
"705","MA",2020-07-10,146,1482,59354
"706","MD",2020-07-10,80,2949,54280
"707","ME",2020-07-10,6,126,14831
"708","MI",2020-07-10,70,3510,135030
"709","MN",2020-07-10,30,3143,77510
"710","MO",2020-07-10,25,3169,46697
"711","MS",2020-07-10,123,5852,25421
"712","MT",2020-07-10,5,465,14210
"713","NC",2020-07-10,87,11090,140229
"714","ND",2020-07-10,0,433,8590
"715","NE",2020-07-10,2,1171,15709
"716","NH",2020-07-10,12,151,8713
"717","NJ",2020-07-10,224,1886,135771
"718","NM",2020-07-10,30,1731,37513
"719","NV",2020-07-10,51,5190,36616
"720","NY",2020-07-10,83,4427,429162
"721","OH",2020-07-10,129,7599,123797
"722","OK",2020-07-10,18,4027,43193
"723","OR",2020-07-10,23,1818,30220
"724","PA",2020-07-10,134,5135,89361
"725","RI",2020-07-10,16,255,8622
"726","SC",2020-07-10,136,10887,55316
"727","SD",2020-07-10,10,423,5126
"728","TN",2020-07-10,90,10834,121252
"729","TX",2020-07-10,438,56579,319304
"730","UT",2020-07-10,26,4357,34981
"731","VA",2020-07-10,113,4538,75827
"732","VT",2020-07-10,0,41,5662
"733","WA",2020-07-10,67,5183,81782
"734","WI",2020-07-10,18,4668,61858
"735","WV",2020-07-10,2,857,19644
"736","AK",2020-07-03,1,227,18189
"737","AL",2020-07-03,99,7682,44626
"738","AR",2020-07-03,41,4560,49297
"739","AZ",2020-07-03,253,25310,73248
"740","CA",2020-07-03,451,47774,629088
"741","CO",2020-07-03,46,1873,35840
"742","CT",2020-07-03,28,658,69604
"743","DC",2020-07-03,9,250,14436
"744","DE",2020-07-03,5,906,15337
"745","FL",2020-07-03,321,55634,256841
"746","GA",2020-07-03,86,17498,112691
"747","IA",2020-07-03,16,2743,35075
"748","ID",2020-07-03,2,1728,14611
"749","IL",2020-07-03,158,5528,204224
"750","IN",2020-07-03,86,2775,47488
"751","KS",2020-07-03,13,2381,21321
"752","KY",2020-07-03,32,1517,43376
"753","LA",2020-07-03,88,8520,97616
"754","MA",2020-07-03,120,1558,62137
"755","MD",2020-07-03,81,2846,54591
"756","ME",2020-07-03,2,271,13324
"757","MI",2020-07-03,81,2846,123713
"758","MN",2020-07-03,57,3008,84886
"759","MO",2020-07-03,36,2916,53425
"760","MS",2020-07-03,70,3704,23441
"761","MT",2020-07-03,1,299,17043
"762","NC",2020-07-03,89,11423,151145
"763","ND",2020-07-03,1,301,9387
"764","NE",2020-07-03,22,1106,18026
"765","NH",2020-07-03,10,151,7268
"766","NJ",2020-07-03,248,2158,136671
"767","NM",2020-07-03,18,1328,40639
"768","NV",2020-07-03,30,4858,29545
"769","NY",2020-07-03,71,4652,422016
"770","OH",2020-07-03,115,6619,99986
"771","OK",2020-07-03,21,2722,50355
"772","OR",2020-07-03,7,1818,36046
"773","PA",2020-07-03,167,4371,80692
"774","RI",2020-07-03,33,280,7619
"775","SC",2020-07-03,99,11197,63164
"776","SD",2020-07-03,9,443,5535
"777","TN",2020-07-03,56,9268,111189
"778","TX",2020-07-03,251,45908,270664
"779","UT",2020-07-03,15,3816,35252
"780","VA",2020-07-03,145,3823,78074
"781","VT",2020-07-03,0,38,6768
"782","WA",2020-07-03,42,4829,85076
"783","WI",2020-07-03,37,3763,66385
"784","WV",2020-07-03,1,414,18331
"785","AK",2020-06-26,2,114,18047
"786","AL",2020-06-26,85,5181,41817
"787","AR",2020-06-26,26,3431,39177
"788","AZ",2020-06-26,223,19859,67748
"789","CA",2020-06-26,452,35045,580567
"790","CO",2020-06-26,58,1578,36553
"791","CT",2020-06-26,69,502,37234
"792","DC",2020-06-26,16,233,14099
"793","DE",2020-06-26,3,406,11260
"794","FL",2020-06-26,267,33212,202802
"795","GA",2020-06-26,134,10986,89736
"796","IA",2020-06-26,23,2411,34583
"797","ID",2020-06-26,1,1122,11703
"798","IL",2020-06-26,333,4874,175128
"799","IN",2020-06-26,79,2394,58609
"800","KS",2020-06-26,10,1479,18731
"801","KY",2020-06-26,31,1405,38122
"802","LA",2020-06-26,106,6254,80843
"803","MA",2020-06-26,196,1420,61858
"804","MD",2020-06-26,112,2567,50161
"805","ME",2020-06-26,1,189,12504
"806","MI",2020-06-26,67,2232,99546
"807","MN",2020-06-26,53,2585,79541
"808","MO",2020-06-26,42,2713,39621
"809","MS",2020-06-26,84,4425,28754
"810","MT",2020-06-26,2,163,11576
"811","NC",2020-06-26,106,8978,115434
"812","ND",2020-06-26,6,195,8085
"813","NE",2020-06-26,20,931,16225
"814","NH",2020-06-26,34,221,10822
"815","NJ",2020-06-26,225,2088,150241
"816","NM",2020-06-26,29,1039,33456
"817","NV",2020-06-26,7,3374,21548
"818","NY",2020-06-26,128,4664,417690
"819","OH",2020-06-26,121,4907,100609
"820","OK",2020-06-26,10,2637,33562
"821","OR",2020-06-26,14,1246,21705
"822","PA",2020-06-26,180,3608,78255
"823","RI",2020-06-26,33,364,8705
"824","SC",2020-06-26,55,7704,38667
"825","SD",2020-06-26,7,377,5445
"826","TN",2020-06-26,62,5427,74916
"827","TX",2020-06-26,184,34319,239101
"828","UT",2020-06-26,11,3625,26585
"829","VA",2020-06-26,98,3777,90275
"830","VT",2020-06-26,0,54,5648
"831","WA",2020-06-26,55,3793,75173
"832","WI",2020-06-26,36,2755,62417
"833","WV",2020-06-26,4,277,15666
"834","AK",2020-06-19,0,97,12654
"835","AL",2020-06-19,53,5292,39648
"836","AR",2020-06-19,38,3084,50566
"837","AZ",2020-06-19,168,13771,55666
"838","CA",2020-06-19,417,23433,470011
"839","CO",2020-06-19,78,1254,28822
"840","CT",2020-06-19,79,868,46088
"841","DC",2020-06-19,24,298,11540
"842","DE",2020-06-19,10,438,12302
"843","FL",2020-06-19,230,18777,178195
"844","GA",2020-06-19,218,6226,72122
"845","IA",2020-06-19,38,1938,30167
"846","ID",2020-06-19,3,441,7672
"847","IL",2020-06-19,254,4411,159630
"848","IN",2020-06-19,120,2600,55107
"849","KS",2020-06-19,11,1012,17485
"850","KY",2020-06-19,29,1509,28624
"851","LA",2020-06-19,88,3520,107855
"852","MA",2020-06-19,237,1591,55857
"853","MD",2020-06-19,130,2935,50639
"854","ME",2020-06-19,2,192,10082
"855","MI",2020-06-19,77,1425,92216
"856","MN",2020-06-19,88,1568,65532
"857","MO",2020-06-19,76,1616,39533
"858","MS",2020-06-19,57,1550,22672
"859","MT",2020-06-19,2,93,11307
"860","NC",2020-06-19,105,8591,108025
"861","ND",2020-06-19,4,209,8232
"862","NE",2020-06-19,28,1100,15973
"863","NH",2020-06-19,23,241,11567
"864","NJ",2020-06-19,346,2332,136615
"865","NM",2020-06-19,30,627,24264
"866","NV",2020-06-19,16,1810,33105
"867","NY",2020-06-19,191,4842,452721
"868","OH",2020-06-19,159,3307,89011
"869","OK",2020-06-19,8,1858,26506
"870","OR",2020-06-19,15,1195,26533
"871","PA",2020-06-19,237,2763,68071
"872","RI",2020-06-19,61,390,8914
"873","SC",2020-06-19,46,5461,46780
"874","SD",2020-06-19,7,416,7772
"875","TN",2020-06-19,47,4891,66625
"876","TX",2020-06-19,201,19625,177332
"877","UT",2020-06-19,16,2848,25724
"878","VA",2020-06-19,68,3582,58299
"879","VT",2020-06-19,1,25,7228
"880","WA",2020-06-19,51,2855,62700
"881","WI",2020-06-19,41,2118,67389
"882","WV",2020-06-19,2,202,21773
"883","AK",2020-06-12,2,101,9789
"884","AL",2020-06-12,93,4323,42589
"885","AR",2020-06-12,24,2896,30615
"886","AZ",2020-06-12,132,8586,50328
"887","CA",2020-06-12,458,19082,404713
"888","CO",2020-06-12,84,1287,29659
"889","CT",2020-06-12,121,1229,56516
"890","DC",2020-06-12,31,455,9637
"891","DE",2020-06-12,9,400,10565
"892","FL",2020-06-12,222,9483,191476
"893","GA",2020-06-12,244,5162,79008
"894","IA",2020-06-12,51,2185,31696
"895","ID",2020-06-12,3,248,7560
"896","IL",2020-06-12,465,6144,140899
"897","IN",2020-06-12,138,2568,40974
"898","KS",2020-06-12,11,654,14845
"899","KY",2020-06-12,27,968,37709
"900","LA",2020-06-12,84,3006,55742
"901","MA",2020-06-12,285,2502,56088
"902","MD",2020-06-12,198,3843,48526
"903","ME",2020-06-12,2,239,9116
"904","MI",2020-06-12,81,851,80165
"905","MN",2020-06-12,146,1775,73092
"906","MO",2020-06-12,73,1332,39261
"907","MS",2020-06-12,78,2332,19048
"908","MT",2020-06-12,0,32,11102
"909","NC",2020-06-12,126,7994,105556
"910","ND",2020-06-12,8,270,7037
"911","NE",2020-06-12,26,1198,14753
"912","NH",2020-06-12,35,333,11819
"913","NJ",2020-06-12,440,2828,133677
"914","NM",2020-06-12,43,1173,36354
"915","NV",2020-06-12,15,1410,31928
"916","NY",2020-06-12,320,5506,436382
"917","OH",2020-06-12,153,2666,74857
"918","OK",2020-06-12,15,941,28802
"919","OR",2020-06-12,12,807,22136
"920","PA",2020-06-12,276,2994,64184
"921","RI",2020-06-12,61,502,8827
"922","SC",2020-06-12,55,3717,1043
"923","SD",2020-06-12,9,465,9177
"924","TN",2020-06-12,60,3606,104395
"925","TX",2020-06-12,151,12067,153314
"926","UT",2020-06-12,19,2325,24264
"927","VA",2020-06-12,81,4679,82081
"928","VT",2020-06-12,0,92,9425
"929","WA",2020-06-12,56,2346,61890
"930","WI",2020-06-12,56,2196,74030
"931","WV",2020-06-12,2,114,15407
"932","AK",2020-06-05,0,94,11457
"933","AL",2020-06-05,71,2564,28026
"934","AR",2020-06-05,27,2113,25730
"935","AZ",2020-06-05,127,5867,48185
"936","CA",2020-06-05,417,19015,383970
"937","CO",2020-06-05,87,2239,32226
"938","CT",2020-06-05,170,1698,44296
"939","DC",2020-06-05,15,661,7342
"940","DE",2020-06-05,22,537,8659
"941","FL",2020-06-05,250,6991,144710
"942","GA",2020-06-05,200,4951,52566
"943","IA",2020-06-05,70,2226,31117
"944","ID",2020-06-05,1,285,8578
"945","IL",2020-06-05,525,8460,140697
"946","IN",2020-06-05,148,3020,39905
"947","KS",2020-06-05,24,674,18030
"948","KY",2020-06-05,57,1793,19350
"949","LA",2020-06-05,146,3187,62572
"950","MA",2020-06-05,379,7045,55979
"951","MD",2020-06-05,164,5782,57426
"952","ME",2020-06-05,13,256,11570
"953","MI",2020-06-05,131,1705,101582
"954","MN",2020-06-05,153,2675,62373
"955","MO",2020-06-05,61,1458,45234
"956","MS",2020-06-05,93,1969,24836
"957","MT",2020-06-05,1,48,7311
"958","NC",2020-06-05,107,6767,84149
"959","ND",2020-06-05,11,225,7178
"960","NE",2020-06-05,22,1856,18163
"961","NH",2020-06-05,41,490,12413
"962","NJ",2020-06-05,518,4492,197988
"963","NM",2020-06-05,48,989,33224
"964","NV",2020-06-05,25,916,30775
"965","NY",2020-06-05,395,7924,407458
"966","OH",2020-06-05,224,3192,73113
"967","OK",2020-06-05,15,569,28504
"968","OR",2020-06-05,10,439,20126
"969","PA",2020-06-05,422,3666,57231
"970","RI",2020-06-05,79,713,10544
"971","SC",2020-06-05,55,2322,40720
"972","SD",2020-06-05,6,411,12270
"973","TN",2020-06-05,48,3435,56770
"974","TX",2020-06-05,162,10607,157694
"975","UT",2020-06-05,13,1988,24354
"976","VA",2020-06-05,95,5999,59394
"977","VT",2020-06-05,0,52,7180
"978","WA",2020-06-05,32,2179,43098
"979","WI",2020-06-05,65,2756,69744
"980","WV",2020-06-05,10,168,14973
"981","AK",2020-05-29,0,26,7967
"982","AL",2020-05-29,68,3260,27855
"983","AR",2020-05-29,12,926,15795
"984","AZ",2020-05-29,110,2857,30953
"985","CA",2020-05-29,438,15442,353263
"986","CO",2020-05-29,106,1930,24804
"987","CT",2020-05-29,231,2122,36943
"988","DC",2020-05-29,42,645,220
"989","DE",2020-05-29,43,707,7840
"990","FL",2020-05-29,227,5046,142697
"991","GA",2020-05-29,189,4452,18570
"992","IA",2020-05-29,97,2422,24648
"993","ID",2020-05-29,5,235,4931
"994","IL",2020-05-29,555,12011,142618
"995","IN",2020-05-29,169,3149,37003
"996","KS",2020-05-29,23,761,17754
"997","KY",2020-05-29,23,898,54136
"998","LA",2020-05-29,98,1877,41342
"999","MA",2020-05-29,490,4623,55478
"1000","MD",2020-05-29,264,6564,50052
"1001","ME",2020-05-29,10,278,8030
"1002","MI",2020-05-29,192,2041,97586
"1003","MN",2020-05-29,155,3639,55688
"1004","MO",2020-05-29,67,1237,3667
"1005","MS",2020-05-29,114,2166,26169
"1006","MT",2020-05-29,1,14,6658
"1007","NC",2020-05-29,131,4870,83137
"1008","ND",2020-05-29,9,284,6420
"1009","NE",2020-05-29,21,1836,14548
"1010","NH",2020-05-29,33,451,11311
"1011","NJ",2020-05-29,546,6125,154972
"1012","NM",2020-05-29,41,892,29885
"1013","NV",2020-05-29,35,949,33526
"1014","NY",2020-05-29,585,10130,333207
"1015","OH",2020-05-29,259,3772,58318
"1016","OK",2020-05-29,22,489,33742
"1017","OR",2020-05-29,4,267,14575
"1018","PA",2020-05-29,480,5081,54227
"1019","RI",2020-05-29,114,859,8262
"1020","SC",2020-05-29,64,1493,36741
"1021","SD",2020-05-29,9,510,7828
"1022","TN",2020-05-29,45,2691,51106
"1023","TX",2020-05-29,146,7557,144356
"1024","UT",2020-05-29,14,1207,17814
"1025","VA",2020-05-29,222,7583,65619
"1026","VT",2020-05-29,1,23,6129
"1027","WA",2020-05-29,62,1793,37424
"1028","WI",2020-05-29,72,3503,60885
"1029","WV",2020-05-29,3,335,8213
"1030","AK",2020-05-22,0,16,9012
"1031","AL",2020-05-22,61,2347,29358
"1032","AR",2020-05-22,15,1149,20369
"1033","AZ",2020-05-22,124,2439,31563
"1034","CA",2020-05-22,522,13508,319359
"1035","CO",2020-05-22,-29,2353,21842
"1036","CT",2020-05-22,352,3555,42865
"1037","DC",2020-05-22,50,1022,7632
"1038","DE",2020-05-22,47,1156,9552
"1039","FL",2020-05-22,277,6241,220418
"1040","GA",2020-05-22,228,4537,120838
"1041","IA",2020-05-22,89,2455,24229
"1042","ID",2020-05-22,5,183,4667
"1043","IL",2020-05-22,657,15075,143456
"1044","IN",2020-05-22,250,3754,39359
"1045","KS",2020-05-22,13,1072,13770
"1046","KY",2020-05-22,58,1061,43901
"1047","LA",2020-05-22,220,3088,55531
"1048","MA",2020-05-22,636,7468,68497
"1049","MD",2020-05-22,283,7438,37638
"1050","ME",2020-05-22,6,345,13358
"1051","MI",2020-05-22,261,3388,99455
"1052","MN",2020-05-22,159,5011,46663
"1053","MO",2020-05-22,95,1102,37386
"1054","MS",2020-05-22,103,1823,29327
"1055","MT",2020-05-22,0,13,6426
"1056","NC",2020-05-22,87,4489,67188
"1057","ND",2020-05-22,4,475,10559
"1058","NE",2020-05-22,30,2009,19195
"1059","NH",2020-05-22,40,471,12017
"1060","NJ",2020-05-22,847,8814,83528
"1061","NM",2020-05-22,52,969,32197
"1062","NV",2020-05-22,32,787,27008
"1063","NY",2020-05-22,891,12341,250404
"1064","OH",2020-05-22,291,3840,57778
"1065","OK",2020-05-22,22,763,34212
"1066","OR",2020-05-22,10,323,18010
"1067","PA",2020-05-22,642,5636,53533
"1068","RI",2020-05-22,100,1286,11383
"1069","SC",2020-05-22,39,1231,39176
"1070","SD",2020-05-22,6,469,4461
"1071","TN",2020-05-22,25,2424,55990
"1072","TX",2020-05-22,208,8251,123481
"1073","UT",2020-05-22,16,1144,22472
"1074","VA",2020-05-22,159,6278,40883
"1075","VT",2020-05-22,1,20,3544
"1076","WA",2020-05-22,61,1676,40022
"1077","WI",2020-05-22,51,2996,44046
"1078","WV",2020-05-22,9,175,13718
"1079","AK",2020-05-15,0,11,6934
"1080","AL",2020-05-15,101,1995,23954
"1081","AR",2020-05-15,10,769,16766
"1082","AZ",2020-05-15,134,2643,38233
"1083","CA",2020-05-15,523,12424,246210
"1084","CO",2020-05-15,130,2467,21457
"1085","CT",2020-05-15,411,3674,31693
"1086","DC",2020-05-15,64,972,6252
"1087","DE",2020-05-15,76,1262,8752
"1088","FL",2020-05-15,253,4011,91485
"1089","GA",2020-05-15,180,4575,69732
"1090","IA",2020-05-15,93,2592,20713
"1091","ID",2020-05-15,5,173,3302
"1092","IL",2020-05-15,817,16609,122279
"1093","IN",2020-05-15,244,3509,31811
"1094","KS",2020-05-15,20,1385,12499
"1095","KY",2020-05-15,34,1096,38781
"1096","LA",2020-05-15,221,2982,47791
"1097","MA",2020-05-15,890,8088,61568
"1098","MD",2020-05-15,348,6501,24138
"1099","ME",2020-05-15,6,229,0
"1100","MI",2020-05-15,338,5338,93685
"1101","MN",2020-05-15,158,4323,38365
"1102","MO",2020-05-15,127,967,24770
"1103","MS",2020-05-15,84,1711,23921
"1104","MT",2020-05-15,0,8,4465
"1105","NC",2020-05-15,114,3261,49673
"1106","ND",2020-05-15,11,336,8878
"1107","NE",2020-05-15,23,2226,14577
"1108","NH",2020-05-15,45,621,11319
"1109","NJ",2020-05-15,1186,8451,155762
"1110","NM",2020-05-15,70,1010,29559
"1111","NV",2020-05-15,40,730,18072
"1112","NY",2020-05-15,1259,15406,201099
"1113","OH",2020-05-15,275,3938,57928
"1114","OK",2020-05-15,19,662,27673
"1115","OR",2020-05-15,13,473,16340
"1116","PA",2020-05-15,726,6384,42889
"1117","RI",2020-05-15,80,1522,12129
"1118","SC",2020-05-15,64,1265,34909
"1119","SD",2020-05-15,13,743,5378
"1120","TN",2020-05-15,49,2529,63649
"1121","TX",2020-05-15,268,8589,123923
"1122","UT",2020-05-15,16,994,23536
"1123","VA",2020-05-15,165,6330,41739
"1124","VT",2020-05-15,0,14,4015
"1125","WA",2020-05-15,92,1578,34068
"1126","WI",2020-05-15,61,2314,31392
"1127","WV",2020-05-15,11,131,11369
"1128","AK",2020-05-08,1,13,5135
"1129","AL",2020-05-08,96,2063,26118
"1130","AR",2020-05-08,24,373,13945
"1131","AZ",2020-05-08,187,2564,23682
"1132","CA",2020-05-08,512,12070,208217
"1133","CO",2020-05-08,184,3087,18629
"1134","CT",2020-05-08,535,3647,16637
"1135","DC",2020-05-08,73,1241,4739
"1136","DE",2020-05-08,75,1193,4486
"1137","FL",2020-05-08,424,4471,106171
"1138","GA",2020-05-08,223,4836,54364
"1139","IA",2020-05-08,73,3573,21096
"1140","ID",2020-05-08,4,163,1882
"1141","IL",2020-05-08,784,17705,97321
"1142","IN",2020-05-08,272,4516,25973
"1143","KS",2020-05-08,22,2052,12622
"1144","KY",2020-05-08,54,1421,23368
"1145","LA",2020-05-08,300,2144,32021
"1146","MA",2020-05-08,986,11022,65365
"1147","MD",2020-05-08,367,7013,24191
"1148","ME",2020-05-08,8,251,2546
"1149","MI",2020-05-08,467,4109,69335
"1150","MN",2020-05-08,163,4304,24194
"1151","MO",2020-05-08,112,1654,24642
"1152","MS",2020-05-08,128,1878,7765
"1153","MT",2020-05-08,0,5,6737
"1154","NC",2020-05-08,128,2945,41836
"1155","ND",2020-05-08,1,317,12658
"1156","NE",2020-05-08,20,2909,10118
"1157","NH",2020-05-08,42,697,7926
"1158","NJ",2020-05-08,1414,14264,27950
"1159","NM",2020-05-08,49,1082,20081
"1160","NV",2020-05-08,51,657,9092
"1161","NY",2020-05-08,2435,22093,172012
"1162","OH",2020-05-08,304,4273,39537
"1163","OK",2020-05-08,36,676,25629
"1164","OR",2020-05-08,20,489,14028
"1165","PA",2020-05-08,1262,7267,35844
"1166","RI",2020-05-08,120,1808,12010
"1167","SC",2020-05-08,60,884,13179
"1168","SD",2020-05-08,10,619,3311
"1169","TN",2020-05-08,37,2550,54896
"1170","TX",2020-05-08,188,7380,117963
"1171","UT",2020-05-08,15,1091,25039
"1172","VA",2020-05-08,231,5441,18064
"1173","VT",2020-05-08,3,33,2292
"1174","WA",2020-05-08,77,1647,33366
"1175","WI",2020-05-08,57,2480,24699
"1176","WV",2020-05-08,5,174,12418
"1177","AK",2020-05-01,0,25,8019
"1178","AL",2020-05-01,82,1326,37912
"1179","AR",2020-05-01,19,580,13518
"1180","AZ",2020-05-01,64,1917,12248
"1181","CA",2020-05-01,511,11188,149624
"1182","CO",2020-05-01,225,4022,16044
"1183","CT",2020-05-01,575,4843,21376
"1184","DC",2020-05-01,78,1130,3472
"1185","DE",2020-05-01,75,1476,3730
"1186","FL",2020-05-01,283,4554,81186
"1187","GA",2020-05-01,262,5123,56068
"1188","IA",2020-05-01,63,3439,10180
"1189","ID",2020-05-01,9,179,9599
"1190","IL",2020-05-01,662,16397,78659
"1191","IN",2020-05-01,434,4950,19136
"1192","KS",2020-05-01,19,1672,7774
"1193","KY",2020-05-01,49,1227,12541
"1194","LA",2020-05-01,326,2571,27568
"1195","MA",2020-05-01,839,13342,61081
"1196","MD",2020-05-01,377,6856,29411
"1197","ME",2020-05-01,8,158,2762
"1198","MI",2020-05-01,702,5510,55753
"1199","MN",2020-05-01,150,3948,22508
"1200","MO",2020-05-01,75,1210,16008
"1201","MS",2020-05-01,72,1778,14100
"1202","MT",2020-05-01,2,9,2067
"1203","NC",2020-05-01,130,2871,30377
"1204","ND",2020-05-01,8,360,11717
"1205","NE",2020-05-01,23,2157,6616
"1206","NH",2020-05-01,21,476,4764
"1207","NJ",2020-05-01,1921,18994,31589
"1208","NM",2020-05-01,45,1032,20274
"1209","NV",2020-05-01,61,829,6574
"1210","NY",2020-05-01,2448,36724,160058
"1211","OH",2020-05-01,312,3574,29235
"1212","OK",2020-05-01,42,627,16785
"1213","OR",2020-05-01,18,402,12282
"1214","PA",2020-05-01,862,8319,32986
"1215","RI",2020-05-01,77,2145,13257
"1216","SC",2020-05-01,106,1341,13575
"1217","SD",2020-05-01,11,485,2054
"1218","TN",2020-05-01,36,3165,51639
"1219","TX",2020-05-01,223,6423,102805
"1220","UT",2020-05-01,7,1046,26815
"1221","VA",2020-05-01,171,5307,31693
"1222","VT",2020-05-01,6,42,2122
"1223","WA",2020-05-01,155,1836,32379
"1224","WI",2020-05-01,65,2186,17993
"1225","WV",2020-05-01,14,148,16885
"1226","AK",2020-04-24,0,30,2801
"1227","AL",2020-04-24,53,1302,13545
"1228","AR",2020-04-24,8,1046,11038
"1229","AZ",2020-04-24,97,1538,9946
"1230","CA",2020-04-24,577,11726,230833
"1231","CO",2020-04-24,178,2587,7907
"1232","CT",2020-04-24,728,7112,11464
"1233","DC",2020-04-24,67,1052,2838
"1234","DE",2020-04-24,71,1119,2243
"1235","FL",2020-04-24,332,6055,76067
"1236","GA",2020-04-24,242,4953,30539
"1237","IA",2020-04-24,43,2113,8068
"1238","ID",2020-04-24,13,227,2568
"1239","IL",2020-04-24,661,12083,47386
"1240","IN",2020-04-24,222,3526,17242
"1241","KS",2020-04-24,27,1072,5615
"1242","KY",2020-04-24,62,1052,12045
"1243","LA",2020-04-24,388,3022,3103
"1244","MA",2020-04-24,1055,15844,47049
"1245","MD",2020-04-24,358,5044,17663
"1246","ME",2020-04-24,18,138,2708
"1247","MI",2020-04-24,834,6410,39786
"1248","MN",2020-04-24,110,2120,10886
"1249","MO",2020-04-24,97,1342,12148
"1250","MS",2020-04-24,69,1641,15445
"1251","MT",2020-04-24,6,22,1861
"1252","NC",2020-04-24,117,2193,25410
"1253","ND",2020-04-24,6,309,4798
"1254","NE",2020-04-24,23,1058,4450
"1255","NH",2020-04-24,14,383,3718
"1256","NJ",2020-04-24,1777,23729,24784
"1257","NM",2020-04-24,34,782,11293
"1258","NV",2020-04-24,54,874,5556
"1259","NY",2020-04-24,3340,41948,115485
"1260","OH",2020-04-24,272,6062,23709
"1261","OK",2020-04-24,52,656,11864
"1262","OR",2020-04-24,16,392,8779
"1263","PA",2020-04-24,736,9211,29559
"1264","RI",2020-04-24,84,2603,12914
"1265","SC",2020-04-24,41,986,7193
"1266","SD",2020-04-24,3,629,3133
"1267","TN",2020-04-24,26,2137,41918
"1268","TX",2020-04-24,165,5435,67576
"1269","UT",2020-04-24,16,977,27949
"1270","VA",2020-04-24,179,4103,16340
"1271","VT",2020-04-24,9,41,1995
"1272","WA",2020-04-24,74,1782,28778
"1273","WI",2020-04-24,57,1525,12208
"1274","WV",2020-04-24,19,234,10896
"1275","AK",2020-04-17,2,63,1955
"1276","AL",2020-04-17,64,1562,15260
"1277","AR",2020-04-17,14,524,5850
"1278","AZ",2020-04-17,72,1395,10101
"1279","CA",2020-04-17,444,8056,78695
"1280","CO",2020-04-17,124,2165,7012
"1281","CT",2020-04-17,588,6271,12903
"1282","DC",2020-04-17,48,816,2472
"1283","DE",2020-04-17,40,997,1279
"1284","FL",2020-04-17,309,6588,65419
"1285","GA",2020-04-17,234,5711,19826
"1286","IA",2020-04-17,33,944,4895
"1287","ID",2020-04-17,17,256,3302
"1288","IL",2020-04-17,538,9688,32948
"1289","IN",2020-04-17,219,3247,16498
"1290","KS",2020-04-17,34,539,4948
"1291","KY",2020-04-17,39,736,4723
"1292","LA",2020-04-17,458,3865,35842
"1293","MA",2020-04-17,990,14247,35631
"1294","MD",2020-04-17,286,4604,12957
"1295","ME",2020-04-17,12,241,7988
"1296","MI",2020-04-17,1067,6148,23671
"1297","MN",2020-04-17,54,936,8474
"1298","MO",2020-04-17,69,1484,9493
"1299","MS",2020-04-17,58,1324,16159
"1300","MT",2020-04-17,2,57,1890
"1301","NC",2020-04-17,78,1951,13385
"1302","ND",2020-04-17,3,160,2573
"1303","NE",2020-04-17,9,431,3319
"1304","NH",2020-04-17,16,468,2282
"1305","NJ",2020-04-17,1908,23879,20047
"1306","NM",2020-04-17,25,506,6884
"1307","NV",2020-04-17,42,940,6073
"1308","NY",2020-04-17,4978,59130,96208
"1309","OH",2020-04-17,187,3229,16124
"1310","OK",2020-04-17,48,671,10785
"1311","OR",2020-04-17,26,464,10230
"1312","PA",2020-04-17,340,9462,24892
"1313","RI",2020-04-17,69,2012,10754
"1314","SC",2020-04-17,37,866,7235
"1315","SD",2020-04-17,1,875,2540
"1316","TN",2020-04-17,44,1727,22747
"1317","TX",2020-04-17,202,5700,48118
"1318","UT",2020-04-17,6,703,14306
"1319","VA",2020-04-17,110,2982,10556
"1320","VT",2020-04-17,11,89,3311
"1321","WA",2020-04-17,109,1905,25330
"1322","WI",2020-04-17,77,1174,9140
